baby_id,gender,combined_time,date,time,diaper_type
baby_1,male,"4/5/21, 10:29 AM",4/5/21, 10:29 AM,Dirty
baby_1,male,"4/1/21, 6:44 PM",4/1/21, 6:44 PM,Dirty
baby_1,male,"4/1/21, 3:36 PM",4/1/21, 3:36 PM,Dirty
baby_1,male,"3/31/21, 8:00 AM",3/31/21, 8:00 AM,Dirty
baby_1,male,"3/30/21, 10:08 AM",3/30/21, 10:08 AM,Dirty
baby_1,male,"3/29/21, 11:30 AM",3/29/21, 11:30 AM,Dirty
baby_1,male,"3/26/21, 11:29 AM",3/26/21, 11:29 AM,Dirty
baby_1,male,"3/25/21, 2:55 PM",3/25/21, 2:55 PM,Dirty
baby_1,male,"3/25/21, 12:45 PM",3/25/21, 12:45 PM,Dirty
baby_1,male,"3/25/21, 8:45 AM",3/25/21, 8:45 AM,Dirty
baby_1,male,"3/24/21, 5:10 AM",3/24/21, 5:10 AM,Dirty
baby_1,male,"3/23/21, 12:11 PM",3/23/21, 12:11 PM,Wet
baby_1,male,"3/21/21, 12:03 PM",3/21/21, 12:03 PM,Dirty
baby_1,male,"3/20/21, 6:16 PM",3/20/21, 6:16 PM,Dirty
baby_1,male,"3/19/21, 7:29 PM",3/19/21, 7:29 PM,Wet
baby_1,male,"3/19/21, 4:30 PM",3/19/21, 4:30 PM,Mixed
baby_1,male,"3/19/21, 1:21 PM",3/19/21, 1:21 PM,Dirty
baby_1,male,"3/18/21, 12:37 PM",3/18/21, 12:37 PM,Dirty
baby_1,male,"3/17/21, 10:30 AM",3/17/21, 10:30 AM,Dirty
baby_1,male,"3/16/21, 12:15 PM",3/16/21, 12:15 PM,Dirty
baby_1,male,"3/16/21, 10:20 AM",3/16/21, 10:20 AM,Dirty
baby_1,male,"3/16/21, 7:04 AM",3/16/21, 7:04 AM,Dirty
baby_1,male,"3/15/21, 12:05 PM",3/15/21, 12:05 PM,Dirty
baby_1,male,"3/13/21, 6:14 PM",3/13/21, 6:14 PM,Dirty
baby_1,male,"3/13/21, 10:11 AM",3/13/21, 10:11 AM,Dirty
baby_1,male,"3/12/21, 5:26 PM",3/12/21, 5:26 PM,Dirty
